Data input File
6
Xlocation 
Ylocation 
Zlocation 
Primary 
Secondary 
Decluster Weight 
 498540.00 3767310.00       0.50      -0.08       0.00       0.00 
 499740.00 3767310.00       0.50       0.13       0.00       0.00 
 504240.00 3767310.00       0.50      -0.08       0.00       0.00 
 477690.00 3767460.00       0.50       0.11       0.00       0.00 
 499440.00 3767460.00       0.50       0.04       0.00       0.00 
 500190.00 3767460.00       0.50        nan       0.00       0.00 
 478140.00 3767610.00       0.50      -0.22       0.00       0.00 
 478890.00 3767610.00       0.50      -0.09       0.00       0.00 
 496440.00 3767610.00       0.50      -0.58       0.00       0.00 
 497040.00 3767610.00       0.50       0.14       0.00       0.00 
 497790.00 3767610.00       0.50      -0.06       0.00       0.00 
 498990.00 3767610.00       0.50       0.04       0.00       0.00 
 500640.00 3767610.00       0.50       0.01       0.00       0.00 
 504540.00 3767610.00       0.50       0.20       0.00       0.00 
 503790.00 3767760.00       0.50       0.13       0.00       0.00 
 497340.00 3767910.00       0.50       0.00       0.00       0.00 
 498840.00 3767910.00       0.50      -0.07       0.00       0.00 
 499590.00 3767910.00       0.50      -0.16       0.00       0.00 
 500490.00 3767910.00       0.50       0.09       0.00       0.00 
 501240.00 3767910.00       0.50       0.10       0.00       0.00 
 503040.00 3767910.00       0.50       0.21       0.00       0.00 
 503490.00 3767910.00       0.50       0.27       0.00       0.00 
 504840.00 3767910.00       0.50       0.12       0.00       0.00 
 505590.00 3767910.00       0.50       0.10       0.00       0.00 
 477090.00 3768060.00       0.50       0.12       0.00       0.00 
 478440.00 3768060.00       0.50       0.19       0.00       0.00 
 501990.00 3768060.00       0.50      -0.28       0.00       0.00 
 504240.00 3768060.00       0.50      -0.32       0.00       0.00 
 494940.00 3768210.00       0.50       0.12       0.00       0.00 
 501090.00 3768210.00       0.50       0.14       0.00       0.00 
 501690.00 3768210.00       0.50       0.14       0.00       0.00 
 495690.00 3768360.00       0.50       0.05       0.00       0.00 
 503640.00 3768360.00       0.50       0.23       0.00       0.00 
 496890.00 3768510.00       0.50       0.20       0.00       0.00 
 497640.00 3768510.00       0.50       0.03       0.00       0.00 
 505890.00 3768510.00       0.50      -0.05       0.00       0.00 
 476340.00 3768660.00       0.50      -0.16       0.00       0.00 
 477090.00 3768660.00       0.50      -0.21       0.00       0.00 
 477540.00 3768660.00       0.50      -0.20       0.00       0.00 
 500040.00 3768660.00       0.50      -0.21       0.00       0.00 
 498540.00 3768810.00       0.50      -0.02       0.00       0.00 
 474990.00 3768960.00       0.50      -0.31       0.00       0.00 
 496590.00 3768960.00       0.50       0.07       0.00       0.00 
 501240.00 3768960.00       0.50       0.17       0.00       0.00 
 476340.00 3769110.00       0.50      -0.28       0.00       0.00 
 476790.00 3769110.00       0.50       0.18       0.00       0.00 
 497640.00 3769110.00       0.50       0.30       0.00       0.00 
 498390.00 3769110.00       0.50      -0.13       0.00       0.00 
 499740.00 3769110.00       0.50       0.13       0.00       0.00 
 496890.00 3769260.00       0.50      -0.03       0.00       0.00 
 501540.00 3769260.00       0.50       0.01       0.00       0.00 
 502290.00 3769260.00       0.50       0.13       0.00       0.00 
 499440.00 3769410.00       0.50      -0.01       0.00       0.00 
 475290.00 3769560.00       0.50       0.22       0.00       0.00 
 496890.00 3769560.00       0.50      -0.20       0.00       0.00 
 504390.00 3769560.00       0.50      -0.07       0.00       0.00 
 473940.00 3769860.00       0.50      -0.15       0.00       0.00 
 498390.00 3769860.00       0.50      -0.14       0.00       0.00 
 499140.00 3769860.00       0.50      -0.34       0.00       0.00 
 497640.00 3770010.00       0.50      -0.11       0.00       0.00 
 497940.00 3770160.00       0.50      -0.01       0.00       0.00 
 499440.00 3770310.00       0.50      -0.80       0.00       0.00 
 500190.00 3770310.00       0.50      -0.15       0.00       0.00 
